state_u,district_u,log_ncrb_rape,log_ncrb_kidnap,log_ncrb_dowry,log_ncrb_assault,log_ncrb_insult,log_ncrb_cruelty,log_ncrb_total,frac_rape,frac_kidnap,frac_dowry,frac_assault,frac_cruelty
UTTAR PRADESH,GAUTAMBUDH NAGAR,4.007333185232471,5.017279836814924,3.58351893845611,5.087596335232384,2.0794415416798357,5.293304824724492,6.754604099487962,0.06301050175029171,0.1750291715285881,0.040840140023337225,0.18786464410735124,0.2310385064177363
UTTAR PRADESH,GHAZIABAD,4.77912349311153,5.971261839790462,3.6635616461296463,5.648974238161206,1.3862943611198906,6.3561076606958915,7.504391559161238,0.06501377410468319,0.21542699724517905,0.0209366391184573,0.15592286501377411,0.3168044077134986
UTTAR PRADESH,GHAZIPUR,3.2188758248682006,4.634728988229636,3.4657359027997265,4.248495242049359,0.0,4.219507705176107,5.940171252720432,0.0633245382585752,0.2691292875989446,0.08179419525065963,0.1820580474934037,0.17678100263852242
UTTAR PRADESH,GONDA,3.6375861597263857,4.844187086458591,3.367295829986474,4.04305126783455,0.0,2.5649493574615367,6.173786103901937,0.07724425887265135,0.2630480167014614,0.05845511482254697,0.11691022964509394,0.025052192066805846
UTTAR PRADESH,GORAKHPUR,4.532599493153256,5.605802066295998,4.07753744390572,4.890349128221754,0.0,5.4116460518550396,6.8679744089702925,0.09583333333333334,0.28229166666666666,0.06041666666666667,0.1375,0.23229166666666667
UTTAR PRADESH,HAMIRPUR,3.4011973816621555,4.02535169073515,3.295836866004329,4.584967478670572,0.6931471805599453,3.7612001156935624,5.683579767338681,0.09897610921501707,0.18771331058020477,0.08873720136518772,0.3310580204778157,0.14334470989761092
UTTAR PRADESH,HAPUR,3.8501476017100584,4.248495242049359,2.833213344056216,4.143134726391533,0.0,4.2626798770413155,5.82600010738045,0.13609467455621302,0.20414201183431951,0.047337278106508875,0.1834319526627219,0.20710059171597633
UTTAR PRADESH,HARDOI,3.6888794541139363,5.093750200806762,3.713572066704308,4.543294782270004,0.0,4.948759890378168,6.4692503167957724,0.06055900621118013,0.2515527950310559,0.062111801242236024,0.14440993788819875,0.21739130434782608
UTTAR PRADESH,HATHRAS,4.110873864173311,4.852030263919617,3.2188758248682006,4.804021044733257,0.6931471805599453,4.6443908991413725,6.511745329644728,0.08928571428571429,0.18898809523809523,0.03571428571428571,0.1800595238095238,0.15327380952380953
UTTAR PRADESH,JALAUN,2.5649493574615367,4.007333185232471,3.4339872044851463,3.8066624897703196,0.0,3.7376696182833684,5.60947179518496,0.04411764705882353,0.19852941176470587,0.11029411764705882,0.16176470588235295,0.15073529411764705
